Email Address,FirstName,MiddleInitial,LastName,Password,Street,City,State,ZipCode,Phone,DOB
cbaker@freezing.co.uk,Christopher,L,Baker,hello,1245 Lake Austin Blvd.,Austin,TX,78733,5125571146,2/7/1991
mb@aool.com,Michelle,,Banks,banquet,1300 Tall Pine Lane,San Antonio,TX,78261,2102678873,6/23/1990
fd@aool.com,Franco,V,Broccolo,666666,62 Browning Rd,Houston,TX,77019,8175659699,5/6/1986
wendy@ggmail.com,Wendy,L,Chang,texas,202 Bellmont Hall,Austin,TX,78713,5125943222,12/21/1964
limchou@yaho.com,Lim,,Chou,austin,1600 Teresa Lane,San Antonio,TX,78266,2107724599,6/14/1950
Dixon@aool.com,Shan,D,Dixon,mailbox,234 Holston Circle,Dallas,TX,75208,2142643255,5/9/1930
louann@ggmail.com,Lou Ann,K,Feeley,aggies,600 S 8th Street W,Houston,TX,77010,8172556749,2/24/1930
tfreeley@minntonka.ci.state.mn.us,Tesa,P,Freeley,raiders,4448 Fairview Ave.,Houston,TX,77009,8173255687,9/1/1935
mgar@aool.com,Margaret,L,Garcia,mustangs,594 Longview,Houston,TX,77003,8176593544,7/3/1990
chaley@thug.com,Charles,E,Haley,mydog,One Cowboy Pkwy,Dallas,TX,75261,2148475583,9/17/1985
jeff@ggmail.com,Jeffrey,T,Hampton,jeffh,337 38th St.,Austin,TX,78705,5126978613,1/23/1995
wjhearniii@umch.edu,John,B,Hearn,logicon,4225 North First,Dallas,TX,75237,2148965621,1/8/1994
hicks43@ggmail.com,Anthony,J,Hicks,doofus,"32 NE Garden Ln., Ste 910",San Antonio,TX,78239,2105788965,10/6/1990
bradsingram@mall.utexas.edu,Brad,S,Ingram,mother,6548 La Posada Ct.,Austin,TX,78736,5124678821,4/12/1984
mother.Ingram@aool.com,Todd,L,Jacobs,whimsical,4564 Elm St.,Austin,TX,78731,5124653365,4/4/1983
victoria@aool.com,Victoria,M,Lawrence,nothing,6639 Butterfly Ln.,Austin,TX,78761,5129457399,2/3/1961
lineback@flush.net,Erik,W,Lineback,GoodFellow,1300 Netherland St,San Antonio,TX,78293,2102449976,9/3/1946
elowe@netscrape.net,Ernest,S,Lowe,Elbow,3201 Pine Drive,San Antonio,TX,78279,2105344627,2/7/1992
luce_chuck@ggmail.com,Chuck,B,Luce,LuceyDucey,2345 Rolling Clouds,San Antonio,TX,78268,2106983548,10/25/1942
mackcloud@pimpdaddy.com,Jennifer,D,MacLeod,cloudyday,2504 Far West Blvd.,Austin,TX,78731,5124748138,8/6/1965
liz@ggmail.com,Elizabeth,P,Markham,emarkbark,7861 Chevy Chase,Austin,TX,78732,5124579845,4/13/1959
mclarence@aool.com,Clarence,A,Martin,smartinmartin,87 Alcedo St.,Houston,TX,77045,8174955201,1/6/1990
smartinmartin.Martin@aool.com,Gregory,R,Martinez,grego,8295 Sunset Blvd.,Houston,TX,77030,8178746718,10/9/1987
cmiller@mapster.com,Charles,R,Miller,chucky33,8962 Main St.,Houston,TX,77031,8177458615,7/21/1984
nelson.Kelly@aool.com,Kelly,T,Nelson,orange,2601 Red River,Austin,TX,78703,5122926966,7/4/1956
jojoe@ggmail.com,Joe,C,Nguyen,victorious,1249 4th SW St.,Dallas,TX,75238,2143125897,1/29/1963
orielly@foxnets.com,Bill,T,O'Reilly,billyboy,8800 Gringo Drive,San Antonio,TX,78260,2103450925,1/7/1983
or@aool.com,Anka,L,Radkovich,radicalone,1300 Elliott Pl,Dallas,TX,75260,2142345566,3/31/1980
megrhodes@freezing.co.uk,Megan,C,Rhodes,gohorns,4587 Enfield Rd.,Austin,TX,78707,5123744746,8/12/1944
erynrice@aool.com,Eryn,M,Rice,iloveme,3405 Rio Grande,Austin,TX,78705,5123876657,8/2/1934
jorge@hootmail.com,Jorge,,Rodriguez,greedy,6788 Cotter Street,Houston,TX,77057,8178904374,8/11/1989
ra@aoo.com,Allen,B,Rogers,familiar,4965 Oak Hill,Austin,TX,78732,5128752943,8/27/1967
st-jean@home.com,Olivier,M,Saint-Jean,historical,255 Toncray Dr.,San Antonio,TX,78292,2104145678,7/8/1950
ss34@ggmail.com,Sarah,J,Saunders,guiltless,332 Avenue C,Austin,TX,78705,5123497810,10/29/1977
willsheff@email.com,William,T,Sewell,frequent,2365 51st St.,Austin,TX,78709,5124510084,4/21/1941
sheff44@ggmail.com,Martin,J,Sheffield,history,3886 Avenue A,Austin,TX,78705,5125479167,11/10/1937
johnsmith187@aool.com,John,A,Smith,squirrel,23 Hidden Forge Dr.,San Antonio,TX,78280,2108321888,10/26/1954
